ID,ReleaseDate,Rank,Movie,Distributor,Genre,Gross,Tickets Sold
0,26-04-2019,1,Avengers: Endgame,Walt Disney,Action,858373000,93708843
1,18-12-2015,1,Star Wars Ep. VII: The Force Awakens,Walt Disney,Adventure,742208942,88043765
2,27-05-2022,1,Top Gun: Maverick,Paramount Pictures,Action,718732821,68255728
3,16-02-2018,1,Black Panther,Walt Disney,Action,700059566,76845177
4,27-04-2018,2,Avengers: Infinity War,Walt Disney,Action,678815482,74513225
5,14-06-2024,1,Inside Out 2,Walt Disney,Adventure,652980194,60573301
6,12-06-2015,2,Jurassic World,Universal,Action,652270625,77374926
7,26-07-2024,2,Deadpool & Wolverine,Walt Disney,Action,636661726,59059529
8,21-07-2023,1,Barbie,Warner Bros.,Comedy,636225983,59019108
9,04-05-2012,1,The Avengers,Walt Disney,Action,623357910,78311295
10,15-06-2018,3,Incredibles 2,Walt Disney,Adventure,608581744,66803704
11,05-04-2023,2,The Super Mario Bros. Movie,Universal,Adventure,574934330,53333425
12,17-12-2021,1,Spider-Man: No Way Home,Sony Pictures,Action,572984769,56340685
13,19-07-2019,2,The Lion King,Walt Disney,Adventure,543638043,59349131
14,15-12-2017,1,Star Wars Ep. VIII: The Last Jedi,Walt Disney,Adventure,517218368,57660910
15,17-03-2017,2,Beauty and the Beast,Walt Disney,Musical,504014165,56188870
16,17-06-2016,1,Finding Dory,Walt Disney,Adventure,486295561,56219140
17,01-05-2015,3,Avengers: Age of Ultron,Walt Disney,Action,459005868,54449094
18,22-11-2019,3,Frozen II,Walt Disney,Musical,450439533,49174621
19,20-07-2012,2,The Dark Knight Rises,Warner Bros.,Action,448139099,56298881
20,11-11-2022,2,Black Panther: Wakanda Forever,Walt Disney,Action,436499646,41452957
21,21-06-2019,4,Toy Story 4,Walt Disney,Adventure,434038008,47384062
22,08-03-2019,5,Captain Marvel,Walt Disney,Action,426829839,46597144
23,16-12-2016,2,Rogue One: A Star Wars Story,Walt Disney,Adventure,424987707,49131526
24,22-06-2018,4,Jurassic World: Fallen Kingdom,Universal,Action,417719760,45852883
25,18-06-2010,1,Toy Story 3,Walt Disney,Adventure,415004880,52598844
26,02-06-2017,3,Wonder Woman,Warner Bros.,Action,412563408,45993691
27,06-05-2022,3,Doctor Strange in the Multiverse of Madness,Walt Disney,Action,411331607,39062830
28,03-05-2013,1,Iron Man 3,Walt Disney,Action,408992272,50306552
29,18-12-2009,2,Avatar,20th Century Fox,Action,408392727,51760802
30,06-05-2016,3,Captain America: Civil War,Walt Disney,Action,408084349,47177381
31,23-03-2012,3,The Hunger Games,Lionsgate,Action,408010692,51257624
32,22-11-2013,2,The Hunger Games: Catching Fire,Lionsgate,Adventure,407139699,50078683
33,16-12-2022,4,Avatar: The Way of Water,20th Century Studios,Action,401007908,38082422
34,20-12-2019,6,Star Wars: The Rise of Skywalker,Walt Disney,Adventure,390706234,42653519
35,02-07-2019,7,Spider-Man: Far From Home,Sony Pictures,Action,390532085,42634507
36,05-05-2017,4,Guardians of the Galaxy Vol 2,Walt Disney,Action,389813101,43457424
37,02-06-2023,3,Spider-Man: Across the Spider-Verse,Sony Pictures,Adventure,381311319,35372108
38,15-07-2011,1,Harry Potter and the Deathly Hollows Part 2,Warner Bros.,Adventure,381011219,48046812
39,10-06-2022,5,Jurassic World: Dominion,Universal,Action,376851080,35788327
40,01-07-2022,6,Minions: The Rise of Gru,Universal,Adventure,369695210,35108757
41,04-03-2022,7,The Batman,Warner Bros.,Action,369345583,35075554
42,08-07-2016,4,The Secret Life of Pets,Universal,Adventure,368855300,42642231
43,03-07-2013,3,Despicable Me 2,Universal,Adventure,367956735,45259130
44,15-04-2016,5,The Jungle Book,Walt Disney,Adventure,364001123,42081054
45,12-02-2016,6,Deadpool,20th Century Fox,Action,363070709,41973492
46,03-07-2024,3,Despicable Me 4,Universal,Adventure,361004205,33488330
47,05-05-2023,4,Guardians of the Galaxy Vol 3,Walt Disney,Action,358995815,33302024
48,19-06-2015,4,Inside Out,Walt Disney,Adventure,356461711,42284900
49,24-05-2019,8,Aladdin,Walt Disney,Adventure,355559216,38816508
50,03-04-2015,5,Furious 7,Universal,Action,353007020,41875091
51,29-06-2011,2,Transformers: Dark of the Moon,Paramount Pictures,Action,352390543,44437647
52,25-12-2014,6,American Sniper,Warner Bros.,Drama,347897084,41268930
53,08-07-2022,8,Thor: Love and Thunder,Walt Disney,Action,343256830,32597989
54,04-03-2016,7,Zootopia,Walt Disney,Adventure,341268248,39452976
55,10-07-2015,7,Minions,Universal,Adventure,336045770,39863081
56,07-07-2017,5,Spider-Man: Homecoming,Sony Pictures,Action,334201140,37257652
57,05-03-2010,3,Alice in Wonderland,Walt Disney,Adventure,334191110,42356287
58,04-10-2019,9,Joker,Warner Bros.,Thriller/Suspense,333772511,36438047
59,01-08-2014,1,Guardians of the Galaxy,Walt Disney,Action,333055258,40765637
60,25-03-2016,8,Batman v Superman: Dawn of Justice,Warner Bros.,Action,330360194,38191930
61,08-09-2017,6,It,Warner Bros.,Horror,327481748,36508556
62,21-07-2023,5,Oppenheimer,Universal,Drama,326101370,30250590
63,05-08-2016,9,Suicide Squad,Warner Bros.,Action,325100054,37583821
64,18-05-2018,5,Deadpool 2,20th Century Fox,Action,324512774,35621600
65,21-11-2014,2,The Hunger Games: Mockingjay,Lionsgate,Action,323734502,39624786
66,07-05-2010,4,Iron Man 2,Paramount Pictures,Action,312433331,39598648
67,03-11-2017,7,Thor: Ragnarok,Walt Disney,Action,311225150,34696226
68,30-06-2010,5,The Twilight Saga: Eclipse,Summit Entertainment,Drama,300531751,38090209
69,26-05-2023,6,The Little Mermaid,Walt Disney,Musical,298172056,27659745
70,09-11-2012,4,Skyfall,Sony Pictures,Action,296804366,37286980
71,27-11-2013,4,Frozen,Walt Disney,Musical,296691729,36493447
72,16-07-2010,6,Inception,Warner Bros.,Thriller/Suspense,292568851,37080970
73,14-06-2013,5,Man of Steel,Warner Bros.,Action,291045518,35798956
74,06-09-2024,4,Beetlejuice Beetlejuice,Warner Bros.,Comedy,289230065,26830247
75,16-11-2012,5,The Twilight Saga: Breaking…,Lionsgate,Drama,289133356,36323285
76,19-11-2010,7,Harry Potter and the Deathly Hollows Part 1,Warner Bros.,Adventure,283533215,35935769
77,16-12-2022,7,Avatar: The Way of Water,20th Century Studios,Action,283067859,26258614
78,01-03-2024,5,Dune: Part Two,Warner Bros.,Action,282144358,26172946
79,18-11-2011,3,The Twilight Saga: Breaking…,Summit Entertainment,Drama,275530738,34745364
80,20-11-2015,8,The Hunger Games: Mockingja…,Lionsgate,Action,274185395,32524957
81,21-06-2013,6,Monsters University,Walt Disney,Adventure,268488329,33024394
82,19-07-2024,6,Twisters,Universal,Thriller/Suspense,267762265,24838800
83,09-11-2018,6,Dr. Seuss’ The Grinch,Universal,Adventure,267287030,29339959
84,30-06-2017,8,Despicable Me 3,Universal,Adventure,264624300,29501036
85,14-12-2012,6,The Hobbit: An Unexpected Journey,Warner Bros.,Adventure,263834893,33145087
86,03-07-2012,7,The Amazing Spider-Man,Sony Pictures,Adventure,262030663,32918425
87,04-04-2014,3,Captain America: The Winter Soldier,Walt Disney,Action,259746958,31792773
88,07-02-2014,4,The Lego Movie,Warner Bros.,Adventure,257784718,31552597
89,04-10-2013,7,Gravity,Warner Bros.,Thriller/Suspense,255621667,31441779
90,26-05-2011,4,The Hangover Part II,Warner Bros.,Comedy,254464305,32088815
91,09-07-2010,8,Despicable Me,Universal,Adventure,251203225,31838178
92,27-06-2014,5,Transformers: Age of Extinc…,Paramount Pictures,Action,245439076,30041502
93,30-05-2014,6,Maleficent,Walt Disney,Adventure,241407328,29548020
94,17-12-2021,9,Spider-Man: No Way Home,Sony Pictures,Action,241130301,22899364
95,20-05-2011,5,Pirates of the Caribbean: On Stranger Tides,Walt Disney,Adventure,241071802,30399975
96,21-05-2010,9,Shrek Forever After,Paramount Pictures,Adventure,238736787,30258148
97,24-05-2013,8,Fast and Furious 6,Universal,Action,238679850,29357915
98,22-06-2012,8,Brave,Walt Disney,Adventure,237277071,29808677
99,20-12-2017,7,Jumanji: Welcome to the Jungle,Sony Pictures,Adventure,235506359,25851411
100,08-03-2013,9,Oz the Great and Powerful,Walt Disney,Adventure,234770996,28877121
101,23-05-2014,7,X-Men: Days of Future Past,20th Century Fox,Action,233921534,28631766
102,04-11-2016,10,Doctor Strange,Walt Disney,Action,230107790,26602056
103,13-12-2013,10,The Hobbit: The Desolation of Smaug,Warner Bros.,Adventure,228934309,28159201
104,16-05-2013,11,Star Trek Into Darkness,Paramount Pictures,Adventure,228778661,28140056
105,03-03-2017,9,Logan,20th Century Fox,Action,226277068,25225983
106,14-04-2017,10,The Fate of the Furious,Universal,Action,225764765,25168870
107,17-11-2017,11,Justice League,Warner Bros.,Action,225546295,25144514
108,02-10-2015,9,The Martian,20th Century Fox,Adventure,225345353,26731359
109,03-09-2021,2,Shang-Chi and the Legend of of Ten Rings,Walt Disney,Action,224543292,22078986
110,18-11-2016,11,Fantastic Beasts and Where To Find Them,Warner Bros.,Adventure,222675573,25742841
111,17-12-2014,8,The Hobbit: The Battle of t…,Warner Bros.,Adventure,220602017,27001470
112,27-07-2018,8,Mission: Impossible—Fallout,Paramount Pictures,Action,220159104,24166751
113,29-06-2012,9,Ted,Universal,Comedy,218665740,27470570
114,26-03-2010,10,How to Train Your Dragon,Paramount Pictures,Adventure,217581231,27576835
115,06-07-2018,9,Ant-Man and the Wasp,Walt Disney,Action,216648740,23781420
116,08-06-2012,10,Madagascar 3: Europe's Most Wanted,Paramount Pictures,Adventure,216391482,27184859
117,17-02-2023,8,Ant-Man and the Wasp: Quantumania,Walt Disney,Action,214504909,19898415
118,02-03-2012,11,Dr. Seuss' The Lorax,Universal,Adventure,214030500,26888253
119,25-05-2018,10,Solo: A Star Wars Story,Walt Disney,Adventure,213767512,23465149
120,05-10-2018,11,Venom,Sony Pictures,Action,213429141,23428006
121,01-10-2021,3,Venom: Let There be Carnage,Sony Pictures,Action,212609036,20905510
122,06-09-2019,10,It: Chapter Two,Warner Bros.,Horror,211593228,23099697
