release_date,title,runtime,tagline,vote_average,vote_count,director
10-12-2009,Avatar,162.0,Enter the World of Pandora.,7.2,11800,James Cameron
19-05-2007,Pirates of the Caribbean: At World's End,169.0,"At the end of the world, the adventure begins.",6.9,4500,Gore Verbinski
26-10-2015,Spectre,148.0,A Plan No One Escapes,6.3,4466,Sam Mendes
16-07-2012,The Dark Knight Rises,165.0,The Legend Ends,7.6,9106,Christopher Nolan
07-03-2012,John Carter,132.0,"Lost in our world, found in another.",6.1,2124,Andrew Stanton
01-05-2007,Spider-Man 3,139.0,The battle within.,5.9,3576,Sam Raimi
24-11-2010,Tangled,100.0,They're taking adventure to new lengths.,7.4,3330,Byron Howard
22-04-2015,Avengers: Age of Ultron,141.0,A New Age Has Come.,7.3,6767,Joss Whedon
07-07-2009,Harry Potter and the Half-Blood Prince,153.0,Dark Secrets Revealed,7.4,5293,David Yates
23-03-2016,Batman v Superman: Dawn of Justice,151.0,Justice or revenge,5.7,7004,Zack Snyder
28-06-2006,Superman Returns,154.0,,5.4,1400,Bryan Singer
30-10-2008,Quantum of Solace,106.0,"For love, for hate, for justice, for revenge.",6.1,2965,Marc Forster
20-06-2006,Pirates of the Caribbean: Dead Man's Chest,151.0,Jack is back!,7.0,5246,Gore Verbinski
03-07-2013,The Lone Ranger,149.0,Never Take Off the Mask,5.9,2311,Gore Verbinski
12-06-2013,Man of Steel,143.0,You will believe that a man can fly.,6.5,6359,Zack Snyder
15-05-2008,The Chronicles of Narnia: Prince Caspian,150.0,Hope has a new face.,6.3,1630,Andrew Adamson
25-04-2012,The Avengers,143.0,Some assembly required.,7.4,11776,Joss Whedon
14-05-2011,Pirates of the Caribbean: On Stranger Tides,136.0,Live Forever Or Die Trying.,6.4,4948,Rob Marshall
23-05-2012,Men in Black 3,106.0,They are back... in time.,6.2,4160,Barry Sonnenfeld
10-12-2014,The Hobbit: The Battle of the Five Armies,144.0,Witness the defining chapter of the Middle-Earth saga,7.1,4760,Peter Jackson
27-06-2012,The Amazing Spider-Man,136.0,The untold story begins.,6.5,6586,Marc Webb
12-05-2010,Robin Hood,140.0,"Rise and rise again, until lambs become lions.",6.2,1398,Ridley Scott
11-12-2013,The Hobbit: The Desolation of Smaug,161.0,Beyond darkness... beyond desolation... lies the greatest danger of all.,7.6,4524,Peter Jackson
04-12-2007,The Golden Compass,113.0,There are worlds beyond our own - the compass will show the way.,5.8,1303,Chris Weitz
14-12-2005,King Kong,187.0,The eighth wonder of the world.,6.6,2337,Peter Jackson
18-11-1997,Titanic,194.0,Nothing on Earth could come between them.,7.5,7562,James Cameron
27-04-2016,Captain America: Civil War,147.0,Divided We Fall,7.1,7241,Anthony Russo
