type,title,country,date_added,release_year,rating,listed_in,Platform
Movie,Dick Johnson Is Dead,United States,25-09-2021,2020.0,PG-13,Documentaries,Netflix
TV Show,Blood & Water,South Africa,24-09-2021,2021.0,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",Netflix
TV Show,Ganglands,,24-09-2021,2021.0,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix
TV Show,Jailbirds New Orleans,,24-09-2021,2021.0,TV-MA,"Docuseries, Reality TV",Netflix
TV Show,Kota Factory,India,24-09-2021,2021.0,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
TV Show,Midnight Mass,,24-09-2021,2021.0,TV-MA,"TV Dramas, TV Horror, TV Mysteries",Netflix
Movie,My Little Pony: A New Generation,,24-09-2021,2021.0,PG,Children & Family Movies,Netflix
Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",24-09-2021,1993.0,TV-MA,"Dramas, Independent Movies, International Movies",Netflix
TV Show,The Great British Baking Show,United Kingdom,24-09-2021,2021.0,TV-14,"British TV Shows, Reality TV",Netflix
Movie,The Starling,United States,24-09-2021,2021.0,PG-13,"Comedies, Dramas",Netflix
TV Show,"Vendetta: Truth, Lies and The Mafia",,24-09-2021,2021.0,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",Netflix
TV Show,Bangkok Breaking,,23-09-2021,2021.0,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix
Movie,Je Suis Karl,"Germany, Czech Republic",23-09-2021,2021.0,TV-MA,"Dramas, International Movies",Netflix
Movie,Confessions of an Invisible Girl,,22-09-2021,2021.0,TV-PG,"Children & Family Movies, Comedies",Netflix
TV Show,Crime Stories: India Detectives,,22-09-2021,2021.0,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Netflix
TV Show,Dear White People,United States,22-09-2021,2021.0,TV-MA,"TV Comedies, TV Dramas",Netflix
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,22-09-2021,2020.0,TV-MA,"Documentaries, International Movies",Netflix
TV Show,Falsa identidad,Mexico,22-09-2021,2020.0,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix
Movie,Intrusion,,22-09-2021,2021.0,TV-14,Thrillers,Netflix
TV Show,Jaguar,,22-09-2021,2021.0,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Netflix
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,,22-09-2021,2021.0,TV-14,"Crime TV Shows, Docuseries, International TV Shows",Netflix
TV Show,Resurrection: Ertugrul,Turkey,22-09-2021,2018.0,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",Netflix
Movie,Avvai Shanmughi,,21-09-2021,1996.0,TV-PG,"Comedies, International Movies",Netflix
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,,21-09-2021,2021.0,TV-Y,Children & Family Movies,Netflix
Movie,Jeans,India,21-09-2021,1998.0,TV-14,"Comedies, International Movies, Romantic Movies",Netflix
TV Show,Love on the Spectrum,Australia,21-09-2021,2021.0,TV-14,"Docuseries, International TV Shows, Reality TV",Netflix
Movie,Minsara Kanavu,,21-09-2021,1997.0,TV-PG,"Comedies, International Movies, Music & Musicals",Netflix
Movie,Grown Ups,United States,20-09-2021,2010.0,PG-13,Comedies,Netflix
Movie,Dark Skies,United States,19-09-2021,2013.0,PG-13,"Horror Movies, Sci-Fi & Fantasy",Netflix
Movie,Paranoia,"United States, India, France",19-09-2021,2013.0,PG-13,Thrillers,Netflix
Movie,Ankahi Kahaniya,,17-09-2021,2021.0,TV-14,"Dramas, Independent Movies, International Movies",Netflix
TV Show,Chicago Party Aunt,,17-09-2021,2021.0,TV-MA,TV Comedies,Netflix
TV Show,Sex Education,United Kingdom,17-09-2021,2020.0,TV-MA,"British TV Shows, International TV Shows, TV Comedies",Netflix
TV Show,Squid Game,,17-09-2021,2021.0,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",Netflix
TV Show,Tayo and Little Wizards,,17-09-2021,2020.0,TV-Y7,Kids' TV,Netflix
Movie,The Father Who Moves Mountains,,17-09-2021,2021.0,TV-MA,"Dramas, International Movies, Thrillers",Netflix
Movie,The Stronghold,,17-09-2021,2021.0,TV-MA,"Action & Adventure, Dramas, International Movies",Netflix
TV Show,Angry Birds,Finland,16-09-2021,2018.0,TV-Y7,"Kids' TV, TV Comedies",Netflix
Movie,Birth of the Dragon,"China, Canada, United States",16-09-2021,2017.0,PG-13,"Action & Adventure, Dramas",Netflix
TV Show,Chhota Bheem,India,16-09-2021,2021.0,TV-Y7,Kids' TV,Netflix
TV Show,He-Man and the Masters of the Universe,United States,16-09-2021,2021.0,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",Netflix
Movie,Jaws,United States,16-09-2021,1975.0,PG,"Action & Adventure, Classic Movies, Dramas",Netflix
Movie,Jaws 2,United States,16-09-2021,1978.0,PG,"Dramas, Horror Movies, Thrillers",Netflix
Movie,Jaws 3,United States,16-09-2021,1983.0,PG,"Action & Adventure, Horror Movies, Thrillers",Netflix
Movie,Jaws: The Revenge,United States,16-09-2021,1987.0,PG-13,"Action & Adventure, Horror Movies, Thrillers",Netflix
Movie,My Heroes Were Cowboys,,16-09-2021,2021.0,PG,Documentaries,Netflix
Movie,Safe House,"South Africa, United States, Japan",16-09-2021,2012.0,R,Action & Adventure,Netflix
TV Show,The Smart Money Woman,,16-09-2021,2020.0,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
Movie,Training Day,United States,16-09-2021,2001.0,R,"Dramas, Thrillers",Netflix
TV Show,Castle and Castle,Nigeria,15-09-2021,2021.0,TV-MA,"International TV Shows, TV Dramas",Netflix
TV Show,Dharmakshetra,India,15-09-2021,2014.0,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Netflix
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,15-09-2021,2002.0,TV-14,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,15-09-2021,2003.0,TV-14,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Japan,15-09-2021,2004.0,TV-PG,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,InuYasha the Movie: Affections Touching Across Time,Japan,15-09-2021,2001.0,TV-PG,"Action & Adventure, Anime Features, International Movies",Netflix
TV Show,Nailed It,United States,15-09-2021,2021.0,TV-PG,Reality TV,Netflix
Movie,Naruto Shippuden the Movie: Blood Prison,Japan,15-09-2021,2011.0,TV-14,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,Naruto ShippÃ»den the Movie: Bonds,Japan,15-09-2021,2008.0,TV-PG,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,Naruto ShippÃ»den the Movie: The Will of Fire,Japan,15-09-2021,2009.0,TV-PG,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,Naruto Shippuden: The Movie,Japan,15-09-2021,2007.0,TV-PG,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,Naruto Shippuden: The Movie: The Lost Tower,Japan,15-09-2021,2010.0,TV-14,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,15-09-2021,2005.0,TV-PG,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,15-09-2021,2006.0,TV-PG,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,15-09-2021,2004.0,TV-PG,"Action & Adventure, Anime Features, International Movies",Netflix
Movie,Nightbooks,,15-09-2021,2021.0,TV-PG,Children & Family Movies,Netflix
TV Show,Numberblocks,United Kingdom,15-09-2021,2021.0,TV-Y,Kids' TV,Netflix
TV Show,Raja Rasoi Aur Anya Kahaniyan,India,15-09-2021,2014.0,TV-G,"Docuseries, International TV Shows",Netflix
TV Show,Saved by the Bell,United States,15-09-2021,1994.0,TV-PG,"Kids' TV, TV Comedies",Netflix
Movie,Schumacher,,15-09-2021,2021.0,TV-14,"Documentaries, International Movies, Sports Movies",Netflix
TV Show,Stories by Rabindranath Tagore,India,15-09-2021,2015.0,TV-PG,"International TV Shows, TV Dramas",Netflix
TV Show,Too Hot To Handle: Latino,,15-09-2021,2021.0,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows",Netflix
Movie,A StoryBots Space Adventure,,14-09-2021,2021.0,TV-Y,Children & Family Movies,Netflix
TV Show,Jack Whitehall: Travels with My Father,United Kingdom,14-09-2021,2021.0,TV-MA,"British TV Shows, Docuseries, International TV Shows",Netflix
Movie,King of Boys,Nigeria,14-09-2021,2018.0,TV-MA,"Dramas, International Movies",Netflix
TV Show,The World's Most Amazing Vacation Rentals,,14-09-2021,2021.0,TV-PG,Reality TV,Netflix
Movie,You vs. Wild: Out Cold,,14-09-2021,2021.0,TV-G,Children & Family Movies,Netflix
TV Show,Yowamushi Pedal,Japan,14-09-2021,2013.0,TV-14,"Anime Series, International TV Shows",Netflix
Movie,Little Singham - Black Shadow,,11-09-2021,2021.0,TV-Y7,"Children & Family Movies, Comedies",Netflix
Movie,Tughlaq Durbar,,11-09-2021,2020.0,TV-14,"Comedies, Dramas, International Movies",Netflix
Movie,Tughlaq Durbar (Telugu),,11-09-2021,2021.0,TV-14,"Comedies, Dramas, International Movies",Netflix
Movie,Firedrake the Silver Dragon,,10-09-2021,2021.0,TV-Y7,Children & Family Movies,Netflix
Movie,Kate,United States,10-09-2021,2021.0,R,Action & Adventure,Netflix
TV Show,Lucifer,United States,10-09-2021,2021.0,TV-14,"Crime TV Shows, TV Comedies, TV Dramas",Netflix
TV Show,Metal Shop Masters,,10-09-2021,2021.0,TV-MA,Reality TV,Netflix
Movie,Omo Ghetto: the Saga,Nigeria,10-09-2021,2020.0,TV-MA,"Action & Adventure, Comedies, Dramas",Netflix
TV Show,PokÃ©mon Master Journeys: The Series,,10-09-2021,2021.0,TV-Y7,"Anime Series, Kids' TV",Netflix
Movie,Prey,,10-09-2021,2021.0,TV-MA,"International Movies, Thrillers",Netflix
TV Show,Titipo Titipo,,10-09-2021,2019.0,TV-Y,"Kids' TV, Korean TV Shows",Netflix
Movie,Blood Brothers: Malcolm X & Muhammad Ali,,09-09-2021,2021.0,PG-13,"Documentaries, Sports Movies",Netflix
TV Show,Mighty Raju,,09-09-2021,2017.0,TV-Y7,Kids' TV,Netflix
Movie,Paradise Hills,"Spain, United States",09-09-2021,2019.0,TV-MA,"Sci-Fi & Fantasy, Thrillers",Netflix
Movie,The Women and the Murderer,France,09-09-2021,2021.0,TV-14,"Documentaries, International Movies",Netflix
TV Show,Into the Night,Belgium,08-09-2021,2021.0,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",Netflix
Movie,JJ+E,,08-09-2021,2021.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Show Dogs,"United Kingdom, United States",08-09-2021,2018.0,PG,"Children & Family Movies, Comedies",Netflix
TV Show,The Circle,"United States, United Kingdom",08-09-2021,2021.0,TV-MA,Reality TV,Netflix
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,07-09-2021,2018.0,TV-MA,"Documentaries, Music & Musicals",Netflix
TV Show,Kid Cosmic,United States,07-09-2021,2021.0,TV-Y7,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",Netflix
TV Show,Octonauts: Above & Beyond,United Kingdom,07-09-2021,2021.0,TV-Y,"British TV Shows, Kids' TV",Netflix
TV Show,On the Verge,"France, United States",07-09-2021,2021.0,TV-MA,"TV Comedies, TV Dramas",Netflix
TV Show,Tobot Galaxy Detectives,,07-09-2021,2019.0,TV-Y7,Kids' TV,Netflix
Movie,Untold: Breaking Point,United States,07-09-2021,2021.0,TV-MA,"Documentaries, Sports Movies",Netflix
TV Show,Countdown: Inspiration4 Mission to Space,,06-09-2021,2021.0,TV-14,"Docuseries, Science & Nature TV",Netflix
Movie,Shadow Parties,,06-09-2021,2020.0,TV-MA,"Dramas, International Movies, Thrillers",Netflix
TV Show,Tayo the Little Bus,South Korea,06-09-2021,2016.0,TV-Y,"Kids' TV, Korean TV Shows",Netflix
Movie,Angamaly Diaries,India,05-09-2021,2017.0,TV-14,"Action & Adventure, Comedies, Dramas",Netflix
TV Show,Bunk'd,United States,05-09-2021,2021.0,TV-G,"Kids' TV, TV Comedies",Netflix
Movie,A Champion Heart,United States,04-09-2021,2018.0,G,"Children & Family Movies, Dramas",Netflix
TV Show,Dive Club,Australia,03-09-2021,2021.0,TV-G,"Kids' TV, TV Dramas, Teen TV Shows",Netflix
TV Show,La casa de papel,Spain,03-09-2021,2021.0,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix
TV Show,Money Heist: From Tokyo to Berlin,,03-09-2021,2021.0,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows",Netflix
TV Show,Sharkdog,"United States, Singapore",03-09-2021,2021.0,TV-Y,Kids' TV,Netflix
Movie,Worth,,03-09-2021,2021.0,PG-13,Dramas,Netflix
Movie,Afterlife of the Party,,02-09-2021,2021.0,TV-PG,"Comedies, Romantic Movies",Netflix
Movie,Anjaam,India,02-09-2021,1994.0,TV-14,"Dramas, International Movies, Thrillers",Netflix
Movie,Bright Star,"United Kingdom, Australia, France",02-09-2021,2009.0,PG,"Dramas, Romantic Movies",Netflix
Movie,Dhanak,India,02-09-2021,2015.0,TV-PG,"Comedies, Dramas, Independent Movies",Netflix
Movie,Final Account,"United Kingdom, United States",02-09-2021,2021.0,PG-13,Documentaries,Netflix
Movie,Gurgaon,India,02-09-2021,2017.0,TV-14,"Dramas, International Movies, Thrillers",Netflix
Movie,Here and There,,02-09-2021,2020.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
TV Show,Heroes of Goo Jit Zu,Australia,02-09-2021,2021.0,TV-Y7,"Kids' TV, TV Comedies",Netflix
TV Show,Hotel Del Luna,,02-09-2021,2019.0,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
Movie,In the Cut,"United Kingdom, Australia, France, United States",02-09-2021,2003.0,R,Thrillers,Netflix
TV Show,Luv Kushh,,02-09-2021,2012.0,TV-Y7,Kids' TV,Netflix
